Age,Gender,Weight,Goal,Activitylevel,WorkoutType,Plan
37,Female,68,Weight Loss,Low,Gym,General Fitness Plan
19,Female,63,Maintain,Medium,Gym,General Fitness Plan
40,Male,77,Maintain,High,Gym,General Fitness Plan
36,Female,98,Weight Loss,High,Home,HIIT + Cardio
25,Female,95,Weight Loss,High,Home,HIIT + Cardio
35,Male,58,Weight Loss,Low,Home,Walking + Light Stretching
35,Female,97,Weight Loss,Medium,Home,General Fitness Plan
45,Female,69,Maintain,High,Gym,General Fitness Plan
29,Female,59,Weight Loss,High,Gym,General Fitness Plan
26,Male,65,Maintain,High,Gym,General Fitness Plan
30,Male,54,Maintain,Low,Home,Light Cardio + Yoga
21,Male,53,Maintain,Low,Home,Light Cardio + Yoga
41,Female,47,Maintain,Medium,Gym,General Fitness Plan
29,Male,62,Maintain,Medium,Home,Bodyweight Workout + Walking
22,Male,45,Maintain,High,Home,General Fitness Plan
40,Female,72,Weight Loss,Medium,Gym,Cardio + Full Body Training
24,Female,51,Muscle Gain,Low,Gym,General Fitness Plan
43,Male,88,Muscle Gain,Medium,Home,General Fitness Plan
39,Female,83,Maintain,High,Home,General Fitness Plan
27,Male,97,Weight Loss,Low,Home,Walking + Light Stretching
18,Male,87,Muscle Gain,Low,Gym,General Fitness Plan
42,Male,93,Weight Loss,Low,Home,Walking + Light Stretching
45,Male,89,Weight Loss,Medium,Gym,Cardio + Full Body Training
31,Female,85,Maintain,Low,Home,Light Cardio + Yoga
23,Female,93,Maintain,Medium,Home,Bodyweight Workout + Walking
36,Female,95,Maintain,High,Home,General Fitness Plan
21,Female,61,Maintain,High,Home,General Fitness Plan
18,Female,50,Weight Loss,Medium,Gym,Cardio + Full Body Training
32,Male,84,Maintain,High,Gym,General Fitness Plan
42,Male,55,Weight Loss,High,Home,HIIT + Cardio
19,Male,93,Muscle Gain,High,Home,General Fitness Plan
28,Male,66,Weight Loss,Medium,Home,General Fitness Plan
26,Female,82,Weight Loss,Medium,Home,General Fitness Plan
30,Male,64,Muscle Gain,Low,Gym,General Fitness Plan
24,Male,57,Weight Loss,Low,Home,Walking + Light Stretching
25,Female,47,Maintain,Medium,Home,Bodyweight Workout + Walking
36,Male,46,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
25,Male,69,Muscle Gain,Low,Gym,General Fitness Plan
31,Male,57,Weight Loss,Medium,Home,General Fitness Plan
28,Female,99,Weight Loss,Low,Home,Walking + Light Stretching
28,Female,88,Weight Loss,High,Gym,General Fitness Plan
33,Female,53,Maintain,High,Home,General Fitness Plan
39,Male,96,Maintain,High,Gym,General Fitness Plan
39,Male,95,Muscle Gain,High,Gym,Strength + Glute Focus
29,Female,47,Maintain,Medium,Gym,General Fitness Plan
26,Male,87,Weight Loss,Low,Home,Walking + Light Stretching
30,Female,52,Muscle Gain,High,Gym,Strength + Glute Focus
29,Female,47,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
35,Female,80,Weight Loss,High,Home,HIIT + Cardio
27,Female,92,Weight Loss,High,Home,HIIT + Cardio
